一级分类,分类描述,分类颜色,标签组,标签组描述,Tag,操作说明
成像与仪器操作,显微成像、仪器 SOP 和图像采集,#4f46e5,仪器平台,仪器使用和设置,图像采集,可修改/新增/删除整行
成像与仪器操作,显微成像、仪器 SOP 和图像采集,#4f46e5,仪器平台,仪器使用和设置,曝光设置,可修改/新增/删除整行
成像与仪器操作,显微成像、仪器 SOP 和图像采集,#4f46e5,仪器平台,仪器使用和设置,仪器校准,可修改/新增/删除整行
成像与仪器操作,显微成像、仪器 SOP 和图像采集,#4f46e5,仪器平台,仪器使用和设置,ImageJ,可修改/新增/删除整行
组学与生物信息分析,组学数据处理、生信分析和可视化,#0f766e,分析类型,组学和数据分析类型,转录组分析,可修改/新增/删除整行
组学与生物信息分析,组学数据处理、生信分析和可视化,#0f766e,分析类型,组学和数据分析类型,蛋白组分析,可修改/新增/删除整行
组学与生物信息分析,组学数据处理、生信分析和可视化,#0f766e,分析类型,组学和数据分析类型,单细胞测序,可修改/新增/删除整行
组学与生物信息分析,组学数据处理、生信分析和可视化,#0f766e,分析类型,组学和数据分析类型,空间转录组,可修改/新增/删除整行
组学与生物信息分析,组学数据处理、生信分析和可视化,#0f766e,分析类型,组学和数据分析类型,差异分析,可修改/新增/删除整行
组学与生物信息分析,组学数据处理、生信分析和可视化,#0f766e,分析类型,组学和数据分析类型,富集分析,可修改/新增/删除整行
组学与生物信息分析,组学数据处理、生信分析和可视化,#0f766e,分析类型,组学和数据分析类型,聚类分析,可修改/新增/删除整行
组学与生物信息分析,组学数据处理、生信分析和可视化,#0f766e,分析类型,组学和数据分析类型,R 语言,可修改/新增/删除整行
组学与生物信息分析,组学数据处理、生信分析和可视化,#0f766e,分析类型,组学和数据分析类型,Python,可修改/新增/删除整行
组学与生物信息分析,组学数据处理、生信分析和可视化,#0f766e,分析类型,组学和数据分析类型,数据可视化,可修改/新增/删除整行
样本处理与试剂配制,样本前处理、保存运输和常用试剂配方,#64748b,样本与试剂,样本处理和试剂配制,PBS,可修改/新增/删除整行
样本处理与试剂配制,样本前处理、保存运输和常用试剂配方,#64748b,样本与试剂,样本处理和试剂配制,固定液,可修改/新增/删除整行
样本处理与试剂配制,样本前处理、保存运输和常用试剂配方,#64748b,样本与试剂,样本处理和试剂配制,裂解液,可修改/新增/删除整行
样本处理与试剂配制,样本前处理、保存运输和常用试剂配方,#64748b,样本与试剂,样本处理和试剂配制,封闭液,可修改/新增/删除整行
样本处理与试剂配制,样本前处理、保存运输和常用试剂配方,#64748b,样本与试剂,样本处理和试剂配制,抗体稀释液,可修改/新增/删除整行
样本处理与试剂配制,样本前处理、保存运输和常用试剂配方,#64748b,样本与试剂,样本处理和试剂配制,样本保存,可修改/新增/删除整行
样本处理与试剂配制,样本前处理、保存运输和常用试剂配方,#64748b,样本与试剂,样本处理和试剂配制,样本运输,可修改/新增/删除整行
样本处理与试剂配制,样本前处理、保存运输和常用试剂配方,#64748b,样本与试剂,样本处理和试剂配制,血液样本,可修改/新增/删除整行
样本处理与试剂配制,样本前处理、保存运输和常用试剂配方,#64748b,样本与试剂,样本处理和试剂配制,组织样本,可修改/新增/删除整行
样本处理与试剂配制,样本前处理、保存运输和常用试剂配方,#64748b,样本与试剂,样本处理和试剂配制,缓冲液配制,可修改/新增/删除整行
通用实验流程与安全规范,实验室通用 SOP、安全规范和质控流程,#475569,通用规范,通用流程和实验室管理,实验记录,可修改/新增/删除整行
通用实验流程与安全规范,实验室通用 SOP、安全规范和质控流程,#475569,通用规范,通用流程和实验室管理,安全规范,可修改/新增/删除整行
通用实验流程与安全规范,实验室通用 SOP、安全规范和质控流程,#475569,通用规范,通用流程和实验室管理,废液处理,可修改/新增/删除整行
通用实验流程与安全规范,实验室通用 SOP、安全规范和质控流程,#475569,通用规范,通用流程和实验室管理,无菌操作,可修改/新增/删除整行
通用实验流程与安全规范,实验室通用 SOP、安全规范和质控流程,#475569,通用规范,通用流程和实验室管理,实验室清洁,可修改/新增/删除整行
通用实验流程与安全规范,实验室通用 SOP、安全规范和质控流程,#475569,通用规范,通用流程和实验室管理,仪器维护,可修改/新增/删除整行
通用实验流程与安全规范,实验室通用 SOP、安全规范和质控流程,#475569,通用规范,通用流程和实验室管理,SOP,可修改/新增/删除整行
通用实验流程与安全规范,实验室通用 SOP、安全规范和质控流程,#475569,通用规范,通用流程和实验室管理,质控,可修改/新增/删除整行
通用实验流程与安全规范,实验室通用 SOP、安全规范和质控流程,#475569,通用规范,通用流程和实验室管理,风险提示,可修改/新增/删除整行

示例：新增一级分类,这里填写该分类用途,#2563eb,示例标签组,这里填写标签组用途,示例 Tag,新增时直接新增一行即可
